participant_id,age,employment,ethnicity,gender,language,language2,level_of_education,location,group_id,work,area_of_work,discipline,agreeableness,conscientiousness,extraversion,neuroticism,openness,perceived_creativity,time_perception,number_perception,effort,role,relationship_importance,feedback_importance
i35759,21,Not in paid work - student,Chinese / Chinese British,Male,No,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,35758,0,"Marketing, advertising and PR",Economics,3.5,3.75,1.75,1.5,4.0,2.0,2.0,4.0,40%-60%,Evaluating ideas,4.0,4.0
i35760,27,Full-time employed,Chinese / Chinese British,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,35758,6,Creative arts and design,Architecture and design,4.25,3.0,3.75,4.5,3.5,4.0,3.0,3.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i35761,27,Not in paid work - student,Chinese / Chinese British,Male,No,Mandarin,Doctorate degree (PhD/other),Asia,35758,1,Engineering and manufacturing,Engineering and technology,3.0,5.0,2.75,2.75,1.75,5.0,3.0,2.0,60%-80%,Generating and evaluating ideas,3.0,4.0
i36207,24,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Cantonese,Undergraduate degree (BA/BSc/other),Asia,36204,1,Public services and administration,Education,5.0,3.25,3.75,3.25,5.0,4.0,2.0,5.0,60%-80%,Generating ideas,5.0,2.0
i36208,35,Not in paid work - student,Mixed race - White and other,Male,No,Russian,Graduate degree (MA/MSc/MPhil/other),Europe,36204,5,0,"Religious studies, divinity, and theology",4.75,2.0,1.75,1.75,5.0,4.0,2.0,4.0,80%-100%,Keeping notes,5.0,2.0
i36209,23,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,36204,2,"Business, consulting and management",Economics,4.5,4.75,3.5,1.25,4.5,4.0,1.0,5.0,20%-40%,Generating ideas,5.0,4.0
i35506,31,Full-time employed,"White - British, Irish, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,35501,9,Healthcare,Business and management,4.5,3.0,3.25,4.0,3.5,2.0,5.0,2.0,40%-60%,Generating and evaluating ideas,4.0,5.0
i35505,43,Full-time employed,"White - British, Irish, other",Male,No but I speak it fluently,Dutch,Undergraduate degree (BA/BSc/other),Europe,35501,21,"Lesure, sport and tourism",Business and management,4.25,4.0,4.75,3.25,3.75,3.0,2.0,4.0,40%-60%,Generating ideas,4.0,4.0
i35507,35,Full-time employed,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Filipino,Graduate degree (MA/MSc/MPhil/other),Other,35501,11,Law,Law,4.0,3.5,4.0,3.25,3.75,3.0,2.0,4.0,80%-100%,Keeping notes,5.0,4.0
i36398,30,Part-time employed,Chinese / Chinese British,Female,No,Cantonese,Graduate degree (MA/MSc/MPhil/other),Other,36388,5,"Teacher, training and education",Education,3.75,4.25,2.5,2.0,3.5,3.0,2.0,2.0,60%-80%,Generating and evaluating ideas,3.0,3.0
i36397,23,Not in paid work - student,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,36388,0,0,History,4.5,2.5,2.5,2.25,3.0,3.0,1.0,1.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i36399,50,Self-employed,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Undergraduate degree (BA/BSc/other),Asia,36388,10,Creative arts and design,Engineering and technology,4.0,3.25,3.0,3.0,3.75,4.0,4.0,4.0,60%-80%,Generating and evaluating ideas,3.0,4.0
i36292,32,Not in paid work - student,"White - British, Irish, other",Male,No but I speak it fluently,Greek,Doctorate degree (PhD/other),Europe,36284,9,Healthcare,Medicine and health,4.75,2.0,5.0,5.0,5.0,4.0,3.0,4.0,80%-100%,Generating and evaluating ideas,3.0,5.0
i36294,25,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,36284,0,"Teacher, training and education",History,4.0,4.25,1.75,3.25,3.5,5.0,3.0,2.0,40%-60%,Generating and evaluating ideas,4.0,3.0
i36293,22,Not in paid work - student,Chinese / Chinese British,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Other,36284,2,Science and pharmaceuticals,Medicine and health,3.75,2.75,2.5,2.5,2.5,4.0,4.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35654,27,Full-time employed,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Chinese,Doctorate degree (PhD/other),Asia,35651,4,Information technology,Engineering and technology,4.0,4.5,3.5,2.25,4.25,2.0,2.0,4.0,60%-80%,Generating ideas,3.0,4.0
i35655,31,Not in paid work - student,Mixed race - White and other,Male,No but I speak it fluently,Portuguese,Undergraduate degree (BA/BSc/other),South America,35651,5,"Accountancy, banking and finance",Economics,4.0,3.75,2.25,1.5,3.25,3.0,2.0,5.0,40%-60%,Moderating the discussion,5.0,4.0
i35656,26,Not in paid work - student,Chinese / Chinese British,Male,No but I speak it fluently,Chinese,Doctorate degree (PhD/other),Asia,35651,1,Information technology,Computer science,3.75,3.25,4.0,3.25,4.75,3.0,2.0,4.0,60%-80%,Generating and evaluating ideas,4.0,5.0
i35653,38,Part-time employed,Other ethnic group,Female,No but I speak it fluently,Korean,Graduate degree (MA/MSc/MPhil/other),Asia,35651,12,Other,Sociology,4.25,4.25,1.5,2.5,4.75,1.0,2.0,4.0,40%-60%,Moderating the discussion,5.0,4.0
i35659,32,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Female,No but I speak it fluently,Arabic,Graduate degree (MA/MSc/MPhil/other),Africa,35651,9,Information technology,Engineering and technology,4.5,3.75,2.0,3.0,4.5,1.0,4.0,4.0,80%-100%,Generating and evaluating ideas,4.0,5.0
i35658,25,Due to start a new job,Chinese / Chinese British,Male,No but I speak it fluently,chinese,Doctorate degree (PhD/other),Asia,35651,0,0,Engineering and technology,4.5,4.25,4.0,2.5,5.0,2.0,4.0,2.0,20%-40%,Generating and evaluating ideas,4.0,2.0
i35517,21,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,35512,0,0,Economics,4.75,3.75,4.0,3.25,2.5,2.0,4.0,4.0,60%-80%,Generating and evaluating ideas,3.0,3.0
i35518,37,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Japanese,Undergraduate degree (BA/BSc/other),Asia,35512,12,Energy and utilities,Business and management,3.0,3.75,2.5,3.5,2.75,3.0,4.0,4.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i35519,27,Unemployed (and job seeking),Chinese / Chinese British,Female,No,Cantonese,Doctorate degree (PhD/other),Australia,35512,1,Healthcare,Medicine and health,5.0,3.5,5.0,1.25,4.75,3.0,2.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35915,22,Not in paid work - student,Chinese / Chinese British,Female,No,Chinese,Undergraduate degree (BA/BSc/other),Asia,35914,1,"Teacher, training and education",Economics,5.0,3.0,4.5,1.25,4.25,2.0,2.0,2.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i35918,24,Due to start a new job,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Chinese,Undergraduate degree (BA/BSc/other),Asia,35914,1,Media and internet,Education,3.5,4.5,3.5,3.25,4.25,4.0,5.0,5.0,60%-80%,Generating and evaluating ideas,5.0,3.0
i35916,25,Part-time employed,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,35914,9,Retail,Languages and literature,5.0,3.25,1.75,3.5,4.25,4.0,2.0,4.0,40%-60%,Keeping notes,5.0,5.0
i35919,25,Full-time employed,"White - British, Irish, other",Female,No but I speak it fluently,Romanian,Graduate degree (MA/MSc/MPhil/other),Europe,35914,6,Other,Political science,5.0,3.75,4.5,2.75,4.5,4.0,1.0,4.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i35921,27,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35914,2,Information technology,Computer science,4.25,3.5,4.75,2.0,5.0,2.0,5.0,3.0,20%-40%,Generating and evaluating ideas,4.0,5.0
i35920,26,Other,"Black / Black British - Caribbean, African, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Africa,35914,1,Environment and agriculture,Geography,4.0,5.0,3.75,1.75,4.25,5.0,5.0,4.0,60%-80%,Generating ideas,5.0,4.0
i35478,33,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Mandarins,Graduate degree (MA/MSc/MPhil/other),Asia,35474,8,"Business, consulting and management",Business and management,4.0,4.25,4.0,2.5,4.0,3.0,3.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35479,29,Not in paid work - student,Other ethnic group,Female,No but I speak it fluently,Japanese,Undergraduate degree (BA/BSc/other),Asia,35474,6,"Business, consulting and management",Business and management,3.5,4.0,3.25,1.75,3.0,4.0,2.0,4.0,60%-80%,Moderating the discussion,4.0,4.0
i35480,37,Not in paid work - sick or disabled,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Japanese,Undergraduate degree (BA/BSc/other),Asia,35474,12,Prefer not to say,Business and management,3.25,4.5,2.0,3.0,3.5,4.0,4.0,2.0,40%-60%,Moderating the discussion,4.0,4.0
i35477,34,Unemployed (and job seeking),Chinese / Chinese British,Female,No but I speak it fluently,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,35474,8,Property and construction,Business and management,4.25,4.25,2.75,3.0,4.25,2.0,3.0,2.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i35476,30,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,35474,7,Information technology,Business and management,3.25,3.75,1.5,1.75,4.0,2.0,4.0,2.0,40%-60%,Keeping notes,3.0,3.0
i35481,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,35474,5,Information technology,Engineering and technology,2.75,3.5,3.25,4.25,1.5,2.0,1.0,1.0,40%-60%,Evaluating ideas,5.0,5.0
i35181,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Asia,35177,4,Law,Law,3.75,4.25,3.5,3.0,4.25,3.0,2.0,4.0,60%-80%,Generating ideas,4.0,4.0
i35179,22,Not in paid work - student,Chinese / Chinese British,Male,No but I speak it fluently,Mandarin Chinese,Undergraduate degree (BA/BSc/other),Asia,35177,1,Healthcare,Medicine and health,4.75,4.5,2.75,2.75,4.5,5.0,5.0,2.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i35182,28,Full-time employed,Mixed race - White and other,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35177,4,Science and pharmaceuticals,Earth science,4.0,4.0,2.75,3.25,4.0,3.0,1.0,1.0,40%-60%,Moderating the discussion,5.0,5.0
i35183,30,Prefer not to say,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Tamil,Graduate degree (MA/MSc/MPhil/other),Asia,35177,7,"Accountancy, banking and finance",Environmental studies and forestry,4.25,4.0,3.75,2.0,3.75,4.0,2.0,2.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35184,32,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Africa,35177,6,Healthcare,Medicine and health,4.5,4.5,3.0,1.75,4.0,4.0,3.0,4.0,40%-60%,Generating and evaluating ideas,5.0,4.0
i35180,31,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Africa,35177,7,"Teacher, training and education",Education,4.5,4.5,3.0,2.5,3.75,4.0,4.0,3.0,80%-100%,Generating ideas,4.0,5.0
i36318,27,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,36316,0,0,Earth science,4.0,3.75,2.25,3.75,3.0,3.0,2.0,4.0,60%-80%,Generating ideas,4.0,4.0
i36320,21,Not in paid work - student,"White - British, Irish, other",Female,No,Czech,High school diploma/A-levels,Europe,36316,0,0,Education,5.0,3.5,4.0,3.75,4.0,3.0,2.0,5.0,80%-100%,Generating ideas,4.0,4.0
i36319,27,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,36316,3,Science and pharmaceuticals,Chemistry,5.0,3.0,2.5,3.5,3.75,4.0,1.0,3.0,60%-80%,Generating and evaluating ideas,3.0,5.0
i35776,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,35773,0,,Economics,3.75,4.0,2.0,1.5,2.5,3.0,2.0,2.0,40%-60%,Generating and evaluating ideas,4.0,3.0
i35775,28,Not in paid work - student,Chinese / Chinese British,Female,No,Chinese (Cantonese),Graduate degree (MA/MSc/MPhil/other),Asia,35773,1,"Teacher, training and education",Languages and literature,1.5,4.5,1.0,1.75,5.0,4.0,2.0,3.0,60%-80%,Evaluating ideas,4.0,5.0
i35777,56,Full-time employed,"White - British, Irish, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35773,30,"Teacher, training and education",Geography,2.0,2.0,3.0,2.0,4.25,4.0,2.0,2.0,80%-100%,Generating ideas,4.0,4.0
i35924,23,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,35922,1,"Business, consulting and management",Engineering and technology,4.25,1.5,4.25,3.5,4.0,4.0,4.0,2.0,60%-80%,Moderating the discussion,4.0,4.0
i35923,25,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Hindi,Undergraduate degree (BA/BSc/other),Asia,35922,4,"Business, consulting and management",Business and management,4.5,4.5,5.0,1.75,4.75,2.0,4.0,5.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i35925,31,Part-time employed,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Pushto,Graduate degree (MA/MSc/MPhil/other),Asia,35922,5,"Teacher, training and education",Education,3.75,3.25,3.0,3.0,3.5,2.0,4.0,5.0,Below 20%,Generating ideas,5.0,5.0
i35256,25,Unemployed (and job seeking),Chinese / Chinese British,Female,No but I speak it fluently,Mandarin,Undergraduate degree (BA/BSc/other),Asia,35249,0,0,Business and management,3.75,4.0,3.75,2.25,3.75,3.0,4.0,3.0,20%-40%,Generating and evaluating ideas,4.0,4.0
i35255,26,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,35249,0,0,Biology,4.75,4.5,2.75,2.25,4.5,4.0,2.0,4.0,80%-100%,Generating ideas,5.0,5.0
i35254,25,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Asia,35249,1,Public services and administration,Political science,5.0,3.25,3.75,3.0,4.75,2.0,5.0,5.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i34304,33,Full-time employed,Chinese / Chinese British,Male,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Europe,34301,8,"Accountancy, banking and finance",Business and management,3.75,4.0,2.0,2.5,4.0,3.0,3.0,4.0,40%-60%,Moderating the discussion,3.0,3.0
i34306,34,Full-time employed,"White - British, Irish, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,34301,6,"Accountancy, banking and finance",Business and management,4.0,4.25,1.5,4.25,2.0,2.0,4.0,2.0,40%-60%,Generating ideas,4.0,2.0
i34305,33,Full-time employed,"Black / Black British - Caribbean, African, other",Female,No but I speak it fluently,Swahili,Undergraduate degree (BA/BSc/other),Africa,34301,11,"Accountancy, banking and finance",Business and management,4.75,2.0,1.5,1.5,2.25,3.0,4.0,5.0,20%-40%,Generating ideas,4.0,4.0
i34308,30,Full-time employed,"White - British, Irish, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,34301,9,"Accountancy, banking and finance",Business and management,4.25,4.5,1.5,3.5,3.5,3.0,2.0,1.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i34307,37,Full-time employed,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Africa,34301,10,"Accountancy, banking and finance",Business and management,3.5,4.25,3.5,2.0,2.75,3.0,2.0,2.0,60%-80%,Keeping notes,5.0,5.0
i34309,42,Full-time employed,Mixed race - White and other,Male,No,German,Undergraduate degree (BA/BSc/other),Europe,34301,17,"Accountancy, banking and finance",Business and management,4.5,4.25,3.25,2.75,3.5,5.0,1.0,2.0,60%-80%,Generating ideas,4.0,3.0
i35497,22,Not in paid work - student,"White - British, Irish, other",Male,No but I speak it fluently,Macedonian,Undergraduate degree (BA/BSc/other),Europe,35493,0,0,Political science,5.0,3.75,4.75,1.25,5.0,4.0,5.0,5.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35499,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,35493,0,"Accountancy, banking and finance",Mathematics,4.0,2.5,3.25,3.0,4.5,3.0,4.0,4.0,60%-80%,Generating and evaluating ideas,5.0,3.0
i35498,21,Not in paid work - student,Chinese / Chinese British,Male,No but I speak it fluently,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,35493,1,"Business, consulting and management",Medicine and health,5.0,3.75,3.5,2.5,3.75,4.0,4.0,4.0,40%-60%,Generating ideas,3.0,4.0
i34667,29,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,34663,7,"Business, consulting and management",Business and management,4.25,4.0,3.75,3.25,2.75,4.0,2.0,2.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i34668,32,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Malayalam,Graduate degree (MA/MSc/MPhil/other),Asia,34663,7,"Business, consulting and management",Business and management,4.25,4.25,3.25,4.0,3.75,4.0,2.0,1.0,80%-100%,Generating ideas,4.0,4.0
i34670,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Indonesian,Graduate degree (MA/MSc/MPhil/other),Asia,34663,4,"Business, consulting and management",Business and management,3.25,3.0,3.0,4.0,2.75,3.0,2.0,1.0,40%-60%,Generating and evaluating ideas,3.0,2.0
i34669,29,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,34663,6,"Business, consulting and management",Business and management,4.0,2.0,2.75,2.25,4.75,5.0,4.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i34666,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Indonesian,Graduate degree (MA/MSc/MPhil/other),Asia,34663,5,"Accountancy, banking and finance",Business and management,4.0,2.75,3.0,4.25,3.5,3.0,2.0,2.0,40%-60%,Generating ideas,4.0,3.0
i34671,27,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Telugu,Graduate degree (MA/MSc/MPhil/other),Asia,34663,5,Information technology,Business and management,4.0,4.5,2.75,2.75,3.25,4.0,3.0,5.0,40%-60%,Generating and evaluating ideas,5.0,5.0
i35405,26,Full-time employed,"White - British, Irish, other",Female,No but I speak it fluently,Spanish,Graduate degree (MA/MSc/MPhil/other),Europe,35401,2,"Teacher, training and education",Chemistry,4.5,3.75,2.25,3.0,4.0,2.0,2.0,4.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i35407,22,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Bahasa Indonesia,Undergraduate degree (BA/BSc/other),Asia,35401,1,Engineering and manufacturing,Engineering and technology,4.5,3.75,3.25,2.0,3.5,3.0,3.0,3.0,80%-100%,Keeping notes,4.0,4.0
i35406,32,Full-time employed,"White - British, Irish, other",Female,No but I speak it fluently,Catalan and spanish,Graduate degree (MA/MSc/MPhil/other),Europe,35401,5,Other,Archaeology,4.0,3.75,2.75,3.25,5.0,3.0,5.0,5.0,60%-80%,Generating ideas,5.0,5.0
i35843,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,35836,1,"Accountancy, banking and finance",Economics,3.5,4.75,3.75,3.5,5.0,3.0,4.0,4.0,40%-60%,Moderating the discussion,4.0,4.0
i35842,22,Due to start a new job,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,35836,1,"Business, consulting and management",Economics,4.25,4.25,4.0,1.5,4.0,2.0,4.0,4.0,60%-80%,Generating and evaluating ideas,2.0,3.0
i35840,26,Not in paid work - student,Chinese / Chinese British,Male,No but I speak it fluently,Chinese,Doctorate degree (PhD/other),Asia,35836,1,Energy and utilities,Engineering and technology,2.75,2.75,1.75,3.75,3.25,2.0,3.0,2.0,20%-40%,Moderating the discussion,4.0,2.0
i35845,18,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,"Uzbek, Russian",High school diploma/A-levels,Asia,35836,0,,Medicine and health,3.75,3.75,3.75,1.0,3.5,2.0,1.0,2.0,60%-80%,Generating and evaluating ideas,5.0,3.0
i35847,22,Part-time employed,Chinese / Chinese British,Male,No,Chinese,Undergraduate degree (BA/BSc/other),Asia,35836,0,"Business, consulting and management",Economics,4.0,2.75,2.5,3.0,4.25,3.0,2.0,3.0,40%-60%,Keeping notes,4.0,2.0
i35844,25,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,chinese,Doctorate degree (PhD/other),Asia,35836,1,Other,Political science,3.5,4.0,1.5,2.0,3.25,2.0,3.0,4.0,Below 20%,Evaluating ideas,2.0,4.0
i34486,31,Unemployed (and job seeking),"White - British, Irish, other",Male,No but I speak it fluently,,Graduate degree (MA/MSc/MPhil/other),South America,34483,5,Sales,Business and management,4.5,3.0,3.25,2.0,3.75,3.0,2.0,5.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i34488,37,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Urdu,Graduate degree (MA/MSc/MPhil/other),Asia,34483,14,Retail,Business and management,3.25,3.5,2.5,3.25,2.5,3.0,1.0,4.0,80%-100%,Generating ideas,4.0,3.0
i34487,32,Not in paid work - student,Other ethnic group,Female,No,Portuguese,Graduate degree (MA/MSc/MPhil/other),South America,34483,5,"Business, consulting and management",Engineering and technology,4.5,2.25,4.0,2.0,4.0,2.0,1.0,5.0,80%-100%,Keeping notes,1.0,4.0
i35589,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,35587,0,0,Business and management,3.75,5.0,2.75,3.5,4.5,3.0,4.0,5.0,60%-80%,Generating ideas,3.0,4.0
i35588,26,Full-time employed,"White - British, Irish, other",Female,No but I speak it fluently,Greek,Graduate degree (MA/MSc/MPhil/other),Europe,35587,1,Science and pharmaceuticals,Biology,4.75,4.25,4.75,1.5,3.5,3.0,2.0,5.0,80%-100%,Generating and evaluating ideas,5.0,5.0
i35590,26,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Africa,35587,5,Property and construction,Architecture and design,4.25,4.5,3.5,2.0,4.5,3.0,5.0,5.0,80%-100%,Generating and evaluating ideas,5.0,5.0
i35129,35,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Korean,Graduate degree (MA/MSc/MPhil/other),Asia,35126,8,Retail,Business and management,4.5,4.0,2.25,2.0,3.25,4.0,5.0,4.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i35128,30,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Bengali,Graduate degree (MA/MSc/MPhil/other),Asia,35126,5,"Business, consulting and management",Business and management,3.75,2.25,1.25,4.25,4.5,4.0,4.0,1.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i35130,26,Not in paid work - student,Other ethnic group,Male,No,Spanish,Graduate degree (MA/MSc/MPhil/other),Other,35126,4,"Business, consulting and management",Business and management,3.5,3.5,2.75,2.5,4.75,4.0,4.0,5.0,60%-80%,Moderating the discussion,3.0,3.0
i35188,32,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Africa,35185,6,Healthcare,Medicine and health,4.0,4.25,2.75,1.5,4.0,4.0,3.0,4.0,40%-60%,Generating and evaluating ideas,5.0,4.0
i35189,28,Not in paid work - student,Mixed race - White and other,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35185,4,Science and pharmaceuticals,Computer science,4.0,4.0,3.0,2.75,4.75,4.0,2.0,1.0,60%-80%,Moderating the discussion,5.0,5.0
i35190,24,Not in paid work - student,Chinese / Chinese British,Male,Yes,,Undergraduate degree (BA/BSc/other),Asia,35185,2,Public services and administration,Business and management,3.5,4.0,4.0,1.75,2.75,3.0,2.0,4.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i36138,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,36131,0,0,Medicine and health,4.0,1.25,2.25,3.75,5.0,3.0,5.0,5.0,60%-80%,Generating and evaluating ideas,5.0,4.0
i36139,27,Not in paid work - student,"White - British, Irish, other",Male,No,German,Undergraduate degree (BA/BSc/other),Europe,36131,0,0,Computer science,3.5,4.0,3.25,1.5,3.5,3.0,4.0,5.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i36137,28,Not in paid work - student,"White - British, Irish, other",Female,No,Italian,Graduate degree (MA/MSc/MPhil/other),Europe,36131,0,"Teacher, training and education",Archaeology,5.0,2.5,4.5,3.75,3.0,2.0,1.0,1.0,60%-80%,Generating and evaluating ideas,5.0,4.0
i35071,26,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,35068,4,"Business, consulting and management",Business and management,4.0,3.75,2.25,3.75,4.0,4.0,3.0,2.0,60%-80%,Generating ideas,4.0,4.0
i35075,30,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,35068,7,"Business, consulting and management",Business and management,4.25,3.25,2.0,3.0,2.75,2.0,3.0,4.0,20%-40%,Generating and evaluating ideas,2.0,2.0
i35073,27,Not in paid work - student,Other ethnic group,Male,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,35068,5,"Business, consulting and management",Engineering and technology,4.0,2.75,3.25,3.25,4.0,3.0,2.0,2.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35072,29,Not in paid work - student,Other ethnic group,Male,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,35068,7,"Business, consulting and management",Engineering and technology,5.0,3.0,2.0,3.0,3.5,3.0,5.0,2.0,60%-80%,Keeping notes,5.0,5.0
